Index,Marker,FCS_Parameter,Metal_or_Channel,Role
1,Time,Time,,QC
2,Cell_length,Cell_length,,QC
3,CD3,CD3(110:114)Dd,110:114,Lineage
4,CD45,CD45(In115)Dd,In115,Lineage
5,BC1,BC1(La139)Dd,La139,Barcode
6,BC2,BC2(Pr141)Dd,Pr141,Barcode
7,pNFkB,pNFkB(Nd142)Dd,Nd142,Functional
8,pp38,pp38(Nd144)Dd,Nd144,Functional
9,CD4,CD4(Nd145)Dd,Nd145,Lineage
10,BC3,BC3(Nd146)Dd,Nd146,Barcode
11,CD20,CD20(Sm147)Dd,Sm147,Lineage
12,CD33,CD33(Nd148)Dd,Nd148,Lineage
13,pStat5,pStat5(Nd150)Dd,Nd150,Functional
14,CD123,CD123(Eu151)Dd,Eu151,Lineage
15,pAkt,pAkt(Sm152)Dd,Sm152,Functional
16,pStat1,pStat1(Eu153)Dd,Eu153,Functional
17,pSHP2,pSHP2(Sm154)Dd,Sm154,Functional
18,pZap70,pZap70(Gd156)Dd,Gd156,Functional
19,pStat3,pStat3(Gd158)Dd,Gd158,Functional
20,BC4,BC4(Tb159)Dd,Tb159,Barcode
21,CD14,CD14(Gd160)Dd,Gd160,Lineage
22,pSlp76,pSlp76(Dy164)Dd,Dy164,Functional
23,BC5,BC5(Ho165)Dd,Ho165,Barcode
24,pBtk,pBtk(Er166)Dd,Er166,Functional
25,pPlcg2,pPlcg2(Er167)Dd,Er167,Functional
26,pErk,pErk(Er168)Dd,Er168,Functional
27,BC6,BC6(Tm169)Dd,Tm169,Barcode
28,pLat,pLat(Er170)Dd,Er170,Functional
29,IgM,IgM(Yb171)Dd,Yb171,Lineage
30,pS6,pS6(Yb172)Dd,Yb172,Functional
31,HLA-DR,HLA-DR(Yb174)Dd,Yb174,Lineage
32,BC7,BC7(Lu175)Dd,Lu175,Barcode
33,CD7,CD7(Yb176)Dd,Yb176,Lineage
34,DNA-1,DNA-1(Ir191)Dd,Ir191,QC
35,DNA-2,DNA-2(Ir193)Dd,Ir193,QC
